00 team,29191
01 team,18728
02 team,4880
03 team,7924
04 team,386
05 team,592
06 team,222
07 team,12807
08 team,918
09 team,4332
10 team,1411
11 team,10030
12 team,5652
13 team,165
14 team,5246
15 team,318
16 team,293
17 team,1032
18 team,369
19 team,2995
20 team,48
21 team,9
22 team,49
23 team,27
24 team,616
25 team,5
26 team,101
27 team,63
30 team,279
32 team,334
33 team,742
34 team,490
35 team,191
36 team,21
37 team,461
40 team,66
41 team,19
42 team,79
43 team,81
44 team,7
45 team,7
46 team,8
48 team,3
50 team,61
51 team,65
52 team,14
53 team,368
54 team,5
55 team,4
56 team,26
57 team,29
60 team,40
61 team,119
62 team,171
63 team,5
64 team,14
65 team,3
66 team,11
67 team,108
70 team,317
71 team,675
72 team,92
73 team,1539
74 team,5134
75 team,213
76 team,1538
77 team,1046
80 team,14
81 team,60
82 team,95
83 team,23
84 team,6
85 team,865
86 team,22
87 team,154
OPL O0,3
OPL O1,9
OPL O2,156
OPL O3,9
OPL O4,5
OPL O5,11
OPL O6,2
OPL O7,5
aatrox,1222
ahri,6428
akali,2322
alistar,1302
alliance,2
amumu,2033
anivia,2671
annie,2382
ashe,1937
avarosan,35
azir,1673
bard,2357
bestof2014,3
blitzcrank,3130
brand,1232
braum,1216
caitlyn,2410
cassiopeia,869
chogath,1620
clg,2
cloudnine,3
corki,1192
counterlogicna,1
curse,4
darius,1365
diana,2699
dignitas,3
draven,3831
drmundo,1093
ekko,801
elise,1543
evelynn,905
ezreal,3899
f0,1
f2,1
f3,1
fiddlesticks,1295
fiora,1361
fizz,2726
fnatic,3
frostguard,21
galio,616
gamania,126
gambit,1
gangplank,2020
garen,1379
gnar,1676
gragas,1295
graves,2139
hecarim,1374
heimerdinger,2135
irelia,3348
janna,3071
jarvaniv,2064
jax,2092
jayce,2184
jinx,4471
kalista,823
karma,1525
karthus,747
kassadin,1136
katarina,3331
kayle,1100
kennen,1286
khazix,2790
kogmaw,1263
ktrolster,1
leblanc,1545
leesin,6390
leona,3780
lissandra,712
lucian,2184
lulu,3575
lux,3590
malphite,841
malzahar,1942
maokai,1496
masteryi,1438
mineski,1
misc triggs,1
misc urf,2
missfortune,1436
monkeyking,2144
mordekaiser,1495
morgana,1831
moscow5,1
nami,2539
nasus,1788
nautilus,2141
nidalee,3643
ninjas,589
nocturne,2131
nunu,1328
olaf,1083
omg,1
orianna,2620
pantheon,1176
poppy,1492
quinn,2027
rammus,1610
reksai,635
renekton,2016
rengar,2909
riot,535
riven,5864
royal,1
rumble,1841
ryze,1104
saigonjokers,41
sejuani,1006
shaco,2788
shen,1305
shyvana,1517
singed,2873
sion,904
sivir,850
skarner,1136
skt1,3
sona,3504
soraka,1219
swain,1443
syndra,1992
tahmkench,389
talon,1656
taric,1768
team 00,4246
team 01,7005
team 02,314
team 03,1344
team 04,166
team 05,344
team 06,65
team 07,4911
team 08,622
team 09,251
team 10,84
team 11,5373
team 12,401
team 13,73
team 14,348
team 15,3518
team 16,58
team 17,228
team 18,424
team 19,491
team 20,44
team 21,1
team 22,21
team 23,66
team 24,45
team 25,2
team 26,133
team 27,7
team 30,667
team 32,378
team 33,64
team 34,20
team 35,174
team 36,39
team 37,30
team 40,38
team 41,11
team 42,39
team 43,37
team 44,15
team 45,113
team 46,35
team 47,27
team 48,20
team 50,63
team 51,3
team 52,1
team 53,28
team 56,7
team 57,15
team 60,6
team 61,19
team 62,12
team 63,5
team 64,12
team 65,4
team 66,4
team 67,50
team 70,130
team 71,93
team 72,14
team 73,61
team 74,2361
team 75,154
team 76,262
team 77,463
team 80,10
team 81,27
team 82,28
team 83,6
team 84,6
team 85,69
team 86,21
team 87,441
team O1,4
team O2,21
team O3,1
team O4,2
team O5,4
team O6,1
team O7,1
team-soraka,1475
teamdignitas,1
teamsolomid,2
teemo,4804
thresh,8977
tristana,1663
trundle,1207
tryndamere,1425
tsm,3
twistedfate,2436
twitch,1349
udyr,2390
urgot,1120
varus,1270
vayne,5994
veigar,1848
velkoz,1189
vi,2797
viktor,2379
vladimir,1777
volibear,1677
warwick,1037
winterclaw,20
xerath,1131
xinzhao,774
yasuo,3927
yorick,791
zac,1482
zed,5844
ziggs,2192
zilean,1158
zyra,1678


