00 team,29668
01 team,18968
02 team,4943
03 team,8096
04 team,388
05 team,625
06 team,232
07 team,12938
08 team,956
09 team,4381
10 team,1435
11 team,10164
12 team,5712
13 team,171
14 team,5383
15 team,321
16 team,297
17 team,1045
18 team,388
19 team,3145
20 team,48
21 team,8
22 team,50
23 team,28
24 team,619
25 team,5
26 team,107
27 team,64
30 team,286
32 team,341
33 team,752
34 team,498
35 team,197
36 team,22
37 team,467
40 team,68
41 team,20
42 team,81
43 team,85
44 team,7
45 team,7
46 team,13
48 team,3
50 team,61
51 team,64
52 team,15
53 team,370
54 team,5
55 team,4
56 team,26
57 team,30
60 team,42
61 team,120
62 team,170
63 team,5
64 team,14
65 team,3
66 team,11
67 team,110
70 team,323
71 team,685
72 team,93
73 team,1566
74 team,5168
75 team,220
76 team,1572
77 team,1060
80 team,15
81 team,64
82 team,103
83 team,23
84 team,8
85 team,879
86 team,25
87 team,156
OPL O0,5
OPL O1,10
OPL O2,219
OPL O3,12
OPL O4,7
OPL O5,15
OPL O6,3
OPL O7,6
aatrox,1220
ahri,6429
akali,2334
alistar,1302
alliance,2
amumu,2038
anivia,2668
annie,2390
ashe,1936
avarosan,41
azir,1715
bard,2307
bestof2014,5
blitzcrank,3128
brand,1217
braum,1200
caitlyn,2425
cassiopeia,876
chogath,1627
clg,2
cloudnine,4
corki,1201
counterlogicna,1
curse,3
darius,1366
diana,2690
dignitas,3
draven,3833
drmundo,1082
ekko,778
elise,1540
evelynn,899
ezreal,3893
f0,2
f1,1
f2,2
f3,1
fiddlesticks,1299
fiora,1362
fizz,2738
fnatic,3
frostguard,23
galio,610
gamania,128
gambit,1
gangplank,2043
garen,1390
gnar,1671
gragas,1295
graves,2161
hecarim,1387
heimerdinger,2134
irelia,3361
janna,3076
jarvaniv,2069
jax,2088
jayce,2203
jinx,4439
kalista,805
karma,1530
karthus,747
kassadin,1120
katarina,3347
kayle,1104
kennen,1280
khazix,2808
kogmaw,1266
ktrolster,1
leblanc,1538
leesin,6353
leona,3801
lissandra,714
lucian,2218
lulu,3559
lux,3596
malphite,830
malzahar,1951
maokai,1510
masteryi,1432
mineski,1
missfortune,1435
monkeyking,2140
mordekaiser,1502
morgana,1836
moscow5,1
nami,2545
nasus,1796
nautilus,2131
nidalee,3660
ninjas,597
nocturne,2123
nunu,1314
olaf,1073
omg,1
orianna,2612
pantheon,1170
poppy,1488
quinn,2044
rammus,1591
reksai,638
renekton,2011
rengar,2889
riot,534
riven,5869
royal,1
rumble,1847
ryze,1113
saigonjokers,41
samsunggalaxy,1
sejuani,1016
shaco,2790
shen,1308
shyvana,1512
singed,2871
sion,904
sivir,857
skarner,1152
skt1,3
sona,3506
soraka,1211
swain,1446
syndra,2007
tahmkench,264
talon,1647
taric,1759
team 00,3789
team 01,5755
team 02,321
team 03,1384
team 04,169
team 05,379
team 06,65
team 07,3574
team 08,680
team 09,271
team 10,85
team 11,4445
team 12,386
team 13,73
team 14,325
team 15,2821
team 16,56
team 17,230
team 18,448
team 19,505
team 20,49
team 21,1
team 22,20
team 23,31
team 24,39
team 25,2
team 26,105
team 27,6
team 30,628
team 32,264
team 33,65
team 34,20
team 35,178
team 36,4
team 37,29
team 40,36
team 41,8
team 42,42
team 43,39
team 44,14
team 45,128
team 46,44
team 47,34
team 48,17
team 50,55
team 51,3
team 52,1
team 53,27
team 56,7
team 57,15
team 60,4
team 61,25
team 62,11
team 63,7
team 64,12
team 65,4
team 66,3
team 67,47
team 70,136
team 71,92
team 72,11
team 73,59
team 74,1816
team 75,122
team 76,278
team 77,379
team 80,11
team 81,28
team 82,29
team 83,6
team 84,6
team 85,74
team 86,23
team 87,308
team-soraka,1571
teamdignitas,1
teamsolomid,2
teemo,4814
thresh,8996
tristana,1651
trundle,1206
tryndamere,1427
tsm,3
twistedfate,2421
twitch,1348
udyr,2397
urgot,1136
varus,1268
vayne,5977
veigar,1786
velkoz,1192
vi,2777
viktor,2401
vladimir,1778
volibear,1677
warwick,1043
winterclaw,23
xerath,1129
xinzhao,778
yasuo,3886
yorick,787
zac,1493
zed,5898
ziggs,2197
zilean,1152
zyra,1683


