00 team,28841
01 team,18473
02 team,4842
03 team,7801
04 team,386
05 team,570
06 team,211
07 team,12718
08 team,894
09 team,4295
10 team,1394
11 team,9893
12 team,5607
13 team,165
14 team,5141
15 team,319
16 team,288
17 team,1024
18 team,355
19 team,2904
20 team,48
21 team,9
22 team,48
23 team,26
24 team,609
25 team,5
26 team,95
27 team,63
30 team,266
32 team,325
33 team,728
34 team,485
35 team,187
36 team,20
37 team,458
40 team,66
41 team,19
42 team,77
43 team,78
44 team,7
45 team,6
46 team,5
48 team,3
50 team,61
51 team,65
52 team,13
53 team,368
54 team,5
55 team,4
56 team,26
57 team,28
60 team,40
61 team,119
62 team,170
63 team,5
64 team,14
65 team,4
66 team,11
67 team,106
70 team,313
71 team,667
72 team,92
73 team,1516
74 team,5102
75 team,209
76 team,1516
77 team,1042
80 team,14
81 team,58
82 team,90
83 team,23
84 team,6
85 team,850
86 team,22
87 team,153
OPL O0,2
OPL O1,9
OPL O2,121
OPL O3,9
OPL O4,5
OPL O5,10
OPL O6,2
OPL O7,5
aatrox,1219
ahri,6468
akali,2327
alistar,1310
alliance,2
amumu,2043
anivia,2690
annie,2397
ashe,1940
avarosan,29
azir,1672
bard,2409
bestof2014,2
blitzcrank,3148
brand,1242
braum,1234
caitlyn,2411
cassiopeia,865
chogath,1619
clg,2
cloudnine,3
corki,1189
counterlogicna,1
curse,4
darius,1377
diana,2714
dignitas,2
draven,3829
drmundo,1089
ekko,847
elise,1561
evelynn,902
ezreal,3898
f0,1
f3,1
fiddlesticks,1287
fiora,1356
fizz,2716
fnatic,3
frostguard,20
galio,617
gamania,121
gambit,1
gangplank,2010
garen,1378
gnar,1691
gragas,1297
graves,2129
hecarim,1376
heimerdinger,2125
irelia,3346
janna,3067
jarvaniv,2065
jax,2099
jayce,2173
jinx,4505
kalista,845
karma,1536
karthus,743
kassadin,1145
katarina,3322
kayle,1092
kennen,1294
khazix,2766
kogmaw,1262
ktrolster,1
leblanc,1542
leesin,6427
leona,3775
lissandra,716
lucian,2183
lulu,3594
lux,3617
malphite,847
malzahar,1945
maokai,1494
masteryi,1437
misc triggs,1
misc urf,1
missfortune,1435
monkeyking,2149
mordekaiser,1485
morgana,1838
moscow5,1
nami,2517
nasus,1783
nautilus,2141
nidalee,3649
ninjas,585
nocturne,2131
nunu,1328
olaf,1097
omg,1
orianna,2638
pantheon,1171
poppy,1502
quinn,2040
rammus,1620
reksai,626
renekton,2046
rengar,2917
riot,543
riven,5872
royal,1
rumble,1823
ryze,1103
saigonjokers,41
sejuani,1005
shaco,2793
shen,1307
shyvana,1523
singed,2890
sion,894
sivir,856
skarner,1129
skt1,3
sona,3508
soraka,1228
swain,1432
syndra,2002
tahmkench,603
talon,1659
taric,1769
team 00,4658
team 01,6877
team 02,317
team 03,1315
team 04,162
team 05,337
team 06,62
team 07,6239
team 08,605
team 09,256
team 10,86
team 11,5897
team 12,421
team 13,69
team 14,367
team 15,4516
team 16,58
team 17,231
team 18,403
team 19,498
team 20,49
team 21,2
team 22,20
team 23,133
team 24,47
team 25,2
team 26,167
team 27,7
team 30,552
team 32,448
team 33,68
team 34,20
team 35,169
team 36,37
team 37,37
team 40,36
team 41,11
team 42,41
team 43,40
team 44,15
team 45,125
team 46,28
team 47,25
team 48,23
team 50,71
team 51,3
team 52,2
team 53,31
team 56,8
team 57,15
team 60,6
team 61,21
team 62,12
team 63,4
team 64,11
team 65,5
team 66,4
team 67,50
team 70,135
team 71,94
team 72,15
team 73,71
team 74,2972
team 75,188
team 76,268
team 77,549
team 80,10
team 81,28
team 82,28
team 83,7
team 84,6
team 85,69
team 86,24
team 87,485
team O1,3
team O2,35
team O3,3
team O4,2
team O5,5
team O6,2
team O7,1
team-soraka,1396
teamdignitas,1
teamsolomid,2
teemo,4800
thresh,8996
tristana,1672
trundle,1216
tryndamere,1418
tsm,3
twistedfate,2448
twitch,1344
udyr,2396
urgot,1103
varus,1263
vayne,6010
veigar,1894
velkoz,1205
vi,2794
viktor,2373
vladimir,1789
volibear,1679
warwick,1041
winterclaw,20
xerath,1134
xinzhao,770
yasuo,3956
yorick,788
zac,1483
zed,5823
ziggs,2185
zilean,1172
zyra,1685


