00 team,29812
01 team,19006
02 team,4963
03 team,8158
04 team,392
05 team,648
06 team,235
07 team,12995
08 team,972
09 team,4414
10 team,1446
11 team,10210
12 team,5744
13 team,175
14 team,5431
15 team,324
16 team,298
17 team,1045
18 team,393
19 team,3235
20 team,49
21 team,8
22 team,53
23 team,29
24 team,622
25 team,7
26 team,104
27 team,65
30 team,286
32 team,347
33 team,758
34 team,502
35 team,196
36 team,22
37 team,469
40 team,69
41 team,20
42 team,82
43 team,88
44 team,7
45 team,8
46 team,13
48 team,2
50 team,61
51 team,64
52 team,15
53 team,373
54 team,4
55 team,4
56 team,26
57 team,31
60 team,42
61 team,120
62 team,171
63 team,5
64 team,14
65 team,3
66 team,11
67 team,112
70 team,326
71 team,692
72 team,93
73 team,1588
74 team,5187
75 team,222
76 team,1590
77 team,1062
80 team,16
81 team,64
82 team,105
83 team,23
84 team,8
85 team,889
86 team,25
87 team,155
OPL O0,5
OPL O1,9
OPL O2,224
OPL O3,13
OPL O4,7
OPL O5,11
OPL O6,1
OPL O7,6
aatrox,1208
ahri,6378
akali,2331
alistar,1298
alliance,2
amumu,2029
anivia,2647
annie,2385
ashe,1922
avarosan,37
azir,1725
bard,2218
bestof2014,5
blitzcrank,3119
brand,1202
braum,1187
caitlyn,2422
cassiopeia,872
chogath,1622
clg,2
cloudnine,3
corki,1207
counterlogicna,1
curse,3
darius,1359
diana,2678
dignitas,3
draven,3812
drmundo,1083
ekko,738
elise,1533
evelynn,896
ezreal,3878
f0,2
f1,1
f2,2
f3,1
fiddlesticks,1304
fiora,1332
fizz,2741
fnatic,4
frostguard,23
galio,609
gamania,128
gambit,1
gangplank,2050
garen,1377
gnar,1665
gragas,1287
graves,2168
hecarim,1390
heimerdinger,2128
irelia,3344
janna,3062
jarvaniv,2062
jax,2078
jayce,2199
jinx,4422
kalista,809
karma,1519
karthus,746
kassadin,1121
katarina,3359
kayle,1082
kennen,1280
khazix,2814
kogmaw,1269
ktrolster,1
leblanc,1532
leesin,6319
leona,3769
lissandra,710
lucian,2173
lulu,3546
lux,3565
malphite,828
malzahar,1944
maokai,1510
masteryi,1416
mineski,1
missfortune,1434
monkeyking,2112
mordekaiser,1499
morgana,1835
moscow5,1
nami,2541
nasus,1790
nautilus,2132
nidalee,3665
ninjas,597
nocturne,2110
nunu,1301
olaf,1067
omg,1
orianna,2599
pantheon,1163
poppy,1488
quinn,2041
rammus,1585
reksai,637
renekton,2010
rengar,2879
riot,527
riven,5812
royal,1
rumble,1839
ryze,1115
saigonjokers,41
samsunggalaxy,1
sejuani,1013
shaco,2782
shen,1306
shyvana,1515
singed,2845
sion,895
sivir,860
skarner,1156
skt1,3
sona,3498
soraka,1187
swain,1440
syndra,2013
tahmkench,212
talon,1632
taric,1753
team 00,3590
team 01,5536
team 02,317
team 03,1397
team 04,167
team 05,395
team 06,63
team 07,3404
team 08,708
team 09,270
team 10,87
team 11,4128
team 12,378
team 13,76
team 14,312
team 15,2780
team 16,55
team 17,223
team 18,439
team 19,501
team 20,47
team 21,1
team 22,18
team 23,21
team 24,38
team 26,97
team 27,6
team 30,573
team 32,227
team 33,63
team 34,22
team 35,144
team 36,4
team 37,26
team 40,37
team 41,8
team 42,47
team 43,42
team 44,14
team 45,142
team 46,42
team 47,33
team 48,12
team 50,47
team 51,3
team 53,29
team 56,7
team 57,16
team 60,5
team 61,23
team 62,11
team 63,5
team 64,11
team 65,4
team 66,3
team 67,47
team 70,143
team 71,93
team 72,11
team 73,57
team 74,1614
team 75,92
team 76,281
team 77,335
team 80,11
team 81,26
team 82,27
team 83,6
team 84,6
team 85,78
team 86,19
team 87,224
team-soraka,1234
teamdignitas,1
teamsolomid,2
teemo,4809
thresh,8941
tristana,1641
trundle,1201
tryndamere,1422
tsm,3
twistedfate,2400
twitch,1332
udyr,2389
urgot,1140
varus,1260
vayne,5948
veigar,1748
velkoz,1174
vi,2773
viktor,2404
vladimir,1783
volibear,1677
warwick,1037
winterclaw,24
xerath,1134
xinzhao,780
yasuo,3810
yorick,778
zac,1494
zed,5853
ziggs,2199
zilean,1141
zyra,1671


